id;autor;titulo;jornal;volume;paginas;ano;evento;endereco;note;venue;editor;tipo;instituicao;mes
116; Fahlman, S. E. ; Fast-learning variations on back-propagation: an empirical study. ;NULL;NULL; 38-51; 1989. ; (Morgan Kaufman, San Mateo).; Pittsburgh, PA, ;NULL; Proceedings of the 1988 Connectionist Models Summer School ; In D. Touretzky, G. Hinton & T. Sejnowski, eds. ;NULL;NULL;NULL
117; Fahlman, S. E. ; Fast-learning variations on back-propagation: an empirical study. ;NULL;NULL; 38-1; 1989. ;(Morgan Kaufman,  San Mateo).; Pittsburgh, PA, ;NULL; Proceedings of the 1988 Connectionist Models Summer School ; In D. Touretzky, G. Hinton & T. Sejnowski, eds. ;NULL;NULL;NULL
118; Fahlman, S. E. ; Faster learning variations on back-propagation: An empirical study. ;NULL;NULL; pages 38-51 ; 1988. ;NULL; Pittsburgh, PA, ;NULL; In Procs.  of the 1988 Connectionist Models Summer School ;NULL;NULL;NULL;NULL
119; S.E. Fahlman. ; Fast learning variations on back-propagation: An empirical study. ;NULL;NULL; pages 38-51 ;NULL; Morgan Kaufmann. ; San Mateo, 1989. ;NULL; Proceedings of the 1988 Connectionist Models Summer School ; In D. Touret-zky, G. Hinton, and T. Sejnowski, editors, ;NULL;NULL;NULL
120; Fahlman, S.E. ; Faster-learning variations on back-propagation: An empirical study. ;NULL;NULL;NULL; 1988. ; Morgan Kauffman Inc., ;NULL;NULL; In Proceedings of the 1988 Connectionists Models Summer School. ;NULL;NULL;NULL;NULL
121; Scott E. Fahlman. ; Faster learn variations on back-propagation: An empirical study. ;NULL;NULL;NULL; September ;NULL;NULL; 120 Bibliography ;NULL;NULL; Technical Report CMU-CS-88-162, ; Carnegie Mellon University, School of Computer Science, ;NULL
122; Fahlman, S. E; E . Faster-learning variations of backpropagation : An empirical study. ;NULL;NULL; 38-51; 1988. ; Morgan Kaufmann ; San Mateo, CA: ;NULL; Proceedings of the 1988 Connectionist Models Summer School ; In D. Touretzky, G. E. Hinton, and T. J Sejnowski (Eds), ;NULL;NULL;NULL
123; Fahlman, S. E ; E . Faster-learning variations of backpropagation : An empirical study. ;NULL;NULL;38-51; 1988. ; Morgan Kaufmann ; San Mateo, CA: ;NULL; Proceedings of the 1988 Connectionist Models Summer School ; In D. Touretzky, G. E. Hinton, and T. J Sejnowski (Eds), ;NULL;NULL;NULL
124; Fahlman, S. E ; E . Faster-learning variations of backpropagation : An empirical study. ;NULL;NULL; 38-51; 1988. ; Morgan Kaufmann; San Mateo, CA: ;NULL; Proceedings of the 1988 Connectionist Models Summer School ; In D. Touretzky, G. E. Hinton, and T. J Sejnowski (Eds), ;NULL;NULL;NULL
125; Fahlman, S. E. ; Fast-learning variations on back propagation: An empirical study. ;NULL;NULL; pages 38-51 ;1989.; Mor-gan Kaufmann, ; Pittsburgh, PA, ;NULL; Proceedings of the 1988 Connectionist Models Summer School ; In Touretzky, D., Hinton, G., and Sejnowski, T., editors, ;NULL;NULL;NULL
126; Fahlman, S. E. ; (1988) Faster-Learning Variations on Back-Propagation: An Empiri cal Study. ;NULL;NULL; pp 38-51 ;NULL; Morgan Kaufmann, ; San Mateo, CA, ;NULL; Proceedings of 1988 Connectionist Models Summer School ; Touretzky, D., Hinton, G and Sejnowski T. (Eds.);NULL;NULL;NULL
127; S E Fahlman. ; Faster-learning variations on back-propagation: An empirical study. ;NULL;NULL; pages 38-51 ; 1988. ; Morgan Kaufman, ;NULL;NULL; Proceedings of the 1988 Connectionist Models Summer School ; In D Touretzky, G E Hinton, and T J Sejnowski, editors, ;NULL;NULL;NULL
128; S.E. Fahlman. ; Faster-learning Variations on Backpropagation : An Empirical Study. In T.J. ;NULL;NULL;NULL; 1988. ; Morgan Kauf-mann, ;NULL;NULL; in 1988 Connectionist Models Summer School. ; Sejnowski, G.E. Hinton, and D.S. Touretzky, editors, ;NULL;NULL;NULL
