febrl1_id;febrl2_id
0;50307
1;19504
1;116062
2;77990
4;23143
4;77253
6;64002
8;28480
8;62187
10;51681
10;128444
15;79790
15;107746
20;95728
20;108863
21;28207
21;40718
24;123175
24;129037
27;107601
28;10359
28;63383
30;13917
33;49925
33;128691
39;36681
39;88647
40;31288
40;75322
41;93037
43;112323
47;79280
47;88665
51;103583
52;33022
52;123874
55;84024
55;101399
56;32595
58;51889
59;15292
59;81946
64;53328
67;40110
67;74276
69;127594
69;128343
73;91615
73;100678
75;34188
75;46024
77;56621
77;60657
79;24963
79;70536
80;10779
80;98405
82;19012
84;84889
87;49765
87;95875
88;58916
89;37388
93;56680
93;86614
94;30340
94;64893
99;52691
99;105418
100;30584
100;92587
106;6175
106;112737
111;31612
111;34785
115;52088
115;79601
117;63424
118;18873
118;96839
119;68031
124;30843
128;26135
128;126757
132;3726
132;58025
134;8342
134;82414
136;90449
136;126041
137;82097
137;90425
138;39185
139;13009
139;14134
141;105505
141;116154
146;12141
146;91723
147;62865
147;95236
150;88666
150;121985
151;5087
151;43278
152;52671
152;128542
155;16677
156;117127
158;2265
158;84517
160;67742
160;111146
162;25589
167;74524
168;35149
168;99595
170;99184
171;28892
171;114167
173;18559
173;41212
174;5969
174;122690
178;40781
178;127704
179;14254
179;114906
181;76385
181;114401
185;2043
189;110246
190;12637
190;106963
192;19428
194;97195
195;60641
195;128902
200;32417
200;117588
201;1495
201;13007
202;28652
202;60660
204;40601
204;95606
206;51878
211;14969
211;22291
213;40933
213;46019
220;32289
220;65700
224;60200
224;69999
226;13389
229;58699
229;127443
230;8416
231;27924
232;5619
237;60547
237;65034
241;30655
242;29582
243;1046
243;112246
244;81489
248;44436
248;55454
256;21454
260;30699
261;77778
264;1506
264;50764
265;93884
269;66349
269;110100
275;116849
281;47097
282;2476
282;129711
283;1864
283;58061
284;33379
284;67047
285;68703
285;110057
290;51422
290;119990
293;1334
293;81212
296;18399
296;30653
297;61824
298;8141
298;129064
300;121608
303;17097
303;22550
304;101643
305;92065
307;45490
308;87665
308;127866
309;40455
310;45957
312;116126
312;125077
314;13991
314;110000
316;111037
317;69194
324;52941
324;83956
326;38323
331;68783
331;69927
334;49477
334;68580
337;87413
337;117064
338;1194
338;6463
343;44886
343;59401
348;129612
349;67801
349;119314
350;95252
351;991
352;9553
352;61875
357;71553
357;73265
358;17837
358;99964
361;44148
362;76804
364;62617
364;103542
366;3814
367;112791
371;47480
374;5800
375;33011
375;79562
377;75811
377;78531
381;19631
381;63583
385;97613
386;37950
386;108291
387;12044
387;27992
389;46854
389;57007
395;31079
395;50684
398;83468
398;83482
401;16842
401;86874
402;78422
402;98989
404;16233
404;88781
408;39811
410;35618
410;70597
415;107994
420;107982
420;123757
422;9515
422;42671
423;95500
424;74270
430;84116
437;61340
437;78583
439;10983
439;67451
440;67023
442;3098
445;39660
445;113117
450;69525
450;83488
452;68467
452;116549
453;17485
453;113323
454;29046
457;51122
457;104348
458;56431
458;64956
467;25033
470;95235
470;113895
471;49250
473;65822
473;118674
477;58538
481;47296
483;73876
483;90596
489;71122
490;9401
490;48010
491;31949
491;106349
494;102979
494;116037
505;41602
505;122455
506;125078
509;21176
509;118606
512;109057
514;64499
515;87054
517;4137
523;45734
524;62387
528;26027
530;29806
530;45928
532;55683
532;66033
533;64519
539;92595
539;105182
547;10568
547;82643
552;118585
553;88375
553;126121
555;66608
558;126278
559;122653
560;35189
568;7746
568;88130
572;98465
578;57765
580;13234
584;52257
584;91982
586;98073
587;10294
592;41215
594;5980
594;61430
598;77241
602;12534
602;33929
611;84776
613;34725
613;37318
614;12953
619;3586
620;70477
620;102662
623;76301
624;103296
624;129594
625;30936
625;33033
629;21247
630;86507
630;117477
636;35834
643;20054
643;95457
647;44870
647;98585
649;18109
649;99944
650;35785
651;9041
651;97071
652;15271
655;7915
655;123465
660;10664
660;43746
664;20230
664;80775
666;14022
666;89937
667;46594
667;106031
668;34511
669;57453
671;66572
671;88071
676;23707
676;99538
677;36895
677;103486
678;69625
678;119036
680;93871
681;6620
681;122650
682;85377
683;93299
683;110595
684;37532
684;78092
686;61379
686;79310
687;45743
691;91505
691;110160
692;53509
692;124248
697;8120
697;79015
699;35519
699;125434
700;12316
701;21967
701;33293
706;123544
706;125671
707;37920
707;66353
716;20881
716;84265
719;66936
722;33299
723;9110
723;41620
724;23232
724;115385
727;12187
727;124189
728;63762
731;57721
731;128929
732;21884
732;123276
734;25999
740;32336
740;95952
741;94698
745;51466
745;79661
747;105797
747;119630
749;26094
749;34029
750;29334
750;56392
751;62657
751;96639
752;87532
761;87807
761;122458
763;40420
763;54714
765;91103
767;8686
769;43072
769;107846
770;36295
771;62230
775;101985
775;111617
777;58381
777;84798
779;3847
779;100593
780;65795
780;69550
785;65383
787;30925
787;127660
788;59302
788;70840
791;16820
791;105746
794;8031
794;67341
796;32523
796;38492
798;72130
798;95805
803;25898
803;67068
807;51615
807;95862
808;61965
809;38046
809;71525
810;67386
812;41380
812;47500
813;19458
814;52701
814;116615
816;27565
816;122974
817;37029
820;71662
821;7760
821;74711
826;13693
828;42393
828;54186
830;9522
830;64949
831;19998
832;42460
834;78720
834;114496
836;21835
841;3813
841;7123
842;69950
842;91905
843;57924
848;124290
848;126342
849;114295
850;94978
850;98178
852;22986
852;59735
853;88927
855;26305
855;101194
857;31964
857;77517
858;49189
860;11886
860;74750
861;93280
861;114661
866;25781
867;82673
867;99350
874;24464
874;113498
878;52278
878;100915
879;79230
883;43445
884;69673
884;85060
885;69061
885;87542
890;72708
896;43020
899;93759
903;1539
903;50106
906;8003
907;75512
911;53188
911;59697
912;83536
913;50596
914;1764
914;61469
917;18572
917;100900
924;18072
924;87241
938;70376
939;3413
943;37758
943;87372
945;65921
949;38535
949;71447
950;14495
950;29681
953;94795
955;6790
955;28167
959;1810
959;27231
962;44755
962;117611
964;11898
966;61485
966;92084
970;25952
970;45461
972;85281
972;102540
977;62660
977;72725
979;6762
979;106715
981;18064
981;59839
982;47731
982;49654
985;3640
985;42094
987;65304
987;81745
988;72283
988;104606
990;3751
994;4813
998;22601
998;103698
1001;13025
1002;93619
1002;115343
1005;5413
1010;83107
1010;83872
1011;44902
1012;89024
1015;72248
1022;70616
1025;1853
1025;58040
1027;107240
1030;58875
1030;100035
1031;19666
1034;17476
1034;73580
1035;100140
1035;112864
1038;29082
1038;68728
1039;120628
1041;41796
1046;112246
1054;13780
1058;41686
1060;17597
1060;65776
1061;53299
1063;32560
1063;127602
1064;33267
1064;55886
1069;96670
1070;12554
1072;124961
1072;128568
1077;27982
1077;89122
1078;20716
1078;21692
1079;17396
1085;71958
1085;73213
1086;62400
1086;129334
1090;113120
1090;126364
1091;51613
1092;36037
1092;54080
1094;28997
1094;87310
1096;45488
1096;76217
1101;9335
1101;32764
1102;89314
1103;13691
1108;7238
1108;107203
1109;36790
1110;18279
1118;1933
1118;11371
1119;99049
1119;124419
1120;6832
1123;32141
1123;51575
1126;105597
1128;30185
1128;80974
1129;45722
1130;67358
1135;73887
1137;36336
1137;99245
1138;100285
1139;23125
1139;52656
1147;30364
1147;87370
1149;17854
1149;114946
1151;4083
1151;4580
1157;93024
1157;93283
1164;7344
1164;78691
1166;19525
1167;67466
1167;67521
1173;39314
1173;79052
1174;106350
1177;58399
1177;123227
1178;17326
1178;92225
1181;79538
1181;120503
1183;29426
1183;112776
1184;10852
1184;82983
1185;107950
1185;116576
1186;11416
1190;55235
1193;32376
1193;95853
1194;6463
1195;47498
1195;109655
1196;19762
1196;22203
1197;40286
1198;113667
1198;120462
1199;109289
1200;124408
1201;16459
1201;47790
1205;25357
1205;123261
1208;69781
1208;101124
1209;27671
1209;59986
1210;83041
1217;71166
1217;109961
1219;13079
1219;99912
1227;67424
1235;74610
1235;74848
1237;45473
1237;115161
1238;60555
1238;81530
1248;108709
1253;17903
1253;87032
1256;119343
1260;32682
1260;58222
1263;72213
1265;52812
1265;107853
1266;61575
1266;92222
1268;13827
1270;37838
1272;78024
1272;127631
1273;42761
1273;79826
1274;17287
1274;85356
1275;74281
1275;92952
1276;34198
1277;40945
1277;58323
1279;2566
1279;66300
1281;33926
1281;55124
1286;63567
1287;36342
1287;121433
1289;89580
1290;87602
1290;101518
1292;35854
1302;40959
1302;126080
1304;26063
1306;28660
1306;52758
1308;77101
1308;79137
1312;112987
1313;2724
1313;113796
1317;69160
1317;73629
1327;59829
1330;66172
1330;118800
1331;56698
1331;75297
1334;81212
1337;22861
1337;42387
1342;18205
1343;19299
1343;127499
1344;119070
1344;120990
1345;11161
1345;87329
1347;39476
1347;99254
1350;84332
1353;3548
1354;105282
1355;77562
1355;97648
1356;4388
1357;2965
1358;88615
1358;109578
1359;80456
1364;58232
1364;115626
1365;76401
1369;3858
1370;30513
1370;90366
1373;9056
1375;6242
1376;21221
1376;90871
1379;4733
1379;117259
1388;8916
1390;102915
1390;118184
1392;5599
1392;78187
1393;42077
1393;46391
1397;23394
1397;99055
1401;49219
1401;86398
1402;106003
1404;18981
1404;43394
1406;116573
1406;127904
1409;76632
1411;50149
1411;78003
1412;49158
1412;120250
1413;5441
1413;89960
1414;103133
1417;61681
1419;44356
1419;125574
1421;58556
1421;76679
1424;117089
1428;45110
1435;26441
1436;27673
1436;33161
1438;97013
1438;113397
1439;32911
1439;75307
1445;6763
1445;39421
1447;31311
1447;88147
1452;17795
1452;119612
1458;98449
1459;110642
1460;107603
1462;93254
1468;56914
1468;79061
1469;61052
1473;12595
1473;122336
1476;62322
1476;111567
1478;27655
1478;100852
1479;70576
1480;39823
1480;65593
1484;10328
1484;39001
1485;12994
1485;74827
1487;32159
1495;13007
1498;35245
1498;117918
1499;15714
1502;96015
1502;113714
1503;18852
1503;95525
1504;115179
1506;50764
1508;44606
1508;106726
1510;52606
1510;109918
1511;61442
1511;74195
1515;77090
1518;40417
1518;77775
1522;107863
1522;109871
1525;56107
1525;128402
1526;102550
1526;118988
1529;122722
1529;125543
1532;65381
1532;120021
1535;80807
1535;104519
1537;6388
1537;91129
1538;90007
1538;127425
1539;50106
1540;21022
1540;107582
1544;51011
1544;78075
1546;44934
1547;58812
1549;79055
1550;3226
1550;88938
1551;41021
1551;47812
1556;45710
1557;60872
1557;97425
1563;36613
1563;55844
1567;98166
1567;126742
1568;2669
1571;61023
1572;2684
1572;56036
1573;31271
1576;109449
1577;47130
1577;125824
1584;64268
1584;112667
1588;14978
1588;67649
1589;19432
1589;55323
1590;24365
1590;89489
1591;27374
1592;12184
1594;76874
1597;41183
1598;20140
1598;111099
1599;52617
1604;27267
1604;110092
1607;117034
1607;129696
1608;16926
1608;21326
1612;58472
1614;13403
1615;26983
1615;85793
1617;12313
1620;55964
1621;44913
1621;60210
1623;23536
1623;118801
1625;17101
1625;83704
1627;87711
1630;46040
1630;99541
1633;42916
1636;5022
1636;81096
1642;103774
1647;111732
1648;73403
1648;75486
1650;3444
1652;48136
1652;83701
1654;49031
1654;122862
1658;55920
1660;11226
1664;26168
1664;70683
1666;73329
1668;54790
1668;105744
1670;29108
1671;48957
1671;49988
1672;35222
1673;15720
1675;27235
1677;91304
1677;116463
1679;85715
1682;122797
1683;47295
1683;47928
1688;76908
1689;69007
1689;92906
1696;35856
1696;79324
1699;13931
1699;30171
1703;22102
1703;115067
1704;53459
1704;58917
1707;100520
1707;101015
1717;41056
1717;63532
1723;65207
1723;89787
1724;13654
1724;101755
1726;42095
1726;82540
1732;69850
1732;124424
1736;12540
1736;105550
1737;2237
1737;102798
1741;44896
1743;117523
1744;22023
1744;78064
1745;28791
1745;100092
1748;49744
1748;89475
1750;97719
1751;75357
1754;41132
1754;95814
1761;57793
1761;113742
1764;61469
1769;61609
1769;118887
1776;107757
1780;15899
1780;22884
1783;72392
1784;19896
1784;86460
1786;78929
1786;126994
1789;52668
1789;63411
1790;117571
1794;24564
1794;59658
1795;22539
1795;30080
1800;100890
1800;111546
1802;75753
1804;30025
1804;108488
1805;45387
1805;79841
1810;27231
1812;5221
1812;127181
1813;124736
1813;125731
1814;61420
1814;73358
1815;121996
1816;126157
1817;87570
1817;111324
1818;67572
1823;23217
1823;88377
1826;68148
1826;73576
1828;65329
1828;113907
1829;67199
1829;94045
1831;22163
1831;123951
1834;8613
1835;71736
1835;125825
1836;85977
1836;96544
1841;33717
1843;105884
1843;122146
1844;33837
1844;96289
1852;23915
1852;121453
1853;58040
1854;31484
1854;101239
1862;18253
1862;47063
1864;58061
1866;13453
1866;118990
1867;30003
1867;108666
1868;48994
1869;75996
1870;43862
1870;96619
1881;30232
1881;126131
1882;95011
1882;100987
1886;25254
1892;45967
1894;46953
1895;23171
1895;69688
1899;15140
1900;6754
1900;56312
1905;83938
1907;111702
1907;112281
1913;120530
1914;16645
1922;43304
1923;42802
1923;98826
1924;52721
1924;120424
1926;22396
1928;77569
1928;105980
1931;23305
1933;11371
1934;20406
1936;87656
1937;15573
1937;48894
1939;40779
1939;102678
1942;48675
1942;55376
1943;3378
1944;74434
1944;81963
1945;73565
1946;24593
1946;70773
1948;78185
1957;8956
1957;24970
1960;71468
1960;74507
1961;20284
1961;116076
1965;55291
1965;73342
1966;93901
1970;14696
1970;110136
1971;27816
1973;106964
1973;121335
1979;65544
1979;75658
